GEO,GEO_OBJECT,EMPSTA_ENQ,AGE,PCS,RP_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,LIB_EMPSTA,LIB_PCS,code_insee,nom_commune,latitude,longitude,population
59271,COM,1T2,Y15T64,_T,POP,A,2011,8552.54525,Actif,Total,59271,Grande-Synthe,51.014,2.302,20331
57480,COM,1T2,Y15T64,2,POP,A,2011,415.37889,Actif,"Artisans, commerçants et chefs d’entreprise",57480,Montigny-lès-Metz,49.1,6.153,21854
59279,COM,1T2,Y15T64,1,POP,A,2016,14.77528,Actif,Agriculteurs,59279,Halluin,50.783,3.125,20829
59368,COM,1T2,Y15T64,3,POP,A,2016,3727.58974,Actif,Cadres et professions intellectuelles supérieures,59368,La Madeleine,50.654,3.074,22488
59017,COM,1T2,Y15T64,3,POP,A,2016,943.90699,Actif,Cadres et professions intellectuelles supérieures,59017,Armentières,50.687,2.882,25581
59172,COM,1T2,Y15T64,2,POP,A,2011,233.951,Actif,"Artisans, commerçants et chefs d’entreprise",59172,Denain,50.326,3.394,20640
59350,COM,1T2,Y15T64,1,POP,A,2016,34.51321,Actif,Agriculteurs,59350,Lille,50.63,3.071,236710
59512,COM,1T2,Y15T64,2,POP,A,2016,1658.84314,Actif,"Artisans, commerçants et chefs d’entreprise",59512,Roubaix,50.691,3.174,98892
59172,COM,1T2,Y15T64,5,POP,A,2016,2169.37184,Actif,Employés,59172,Denain,50.326,3.394,20640
59512,COM,1T2,Y15T64,3,POP,A,2011,3192.32661,Actif,Cadres et professions intellectuelles supérieures,59512,Roubaix,50.691,3.174,98892
59178,COM,1T2,Y15T64,2,POP,A,2011,620.69535,Actif,"Artisans, commerçants et chefs d’entreprise",59178,Douai,50.368,3.08,39648
59378,COM,1T2,Y15T64,3,POP,A,2016,6484.57034,Actif,Cadres et professions intellectuelles supérieures,59378,Marcq-en-Barœul,50.673,3.094,39356
59271,COM,1T2,Y15T64,_T,POP,A,2016,8533.56719,Actif,Total,59271,Grande-Synthe,51.014,2.302,20331
59017,COM,1T2,Y15T64,4,POP,A,2016,2370.6737,Actif,Professions intermédiaires,59017,Armentières,50.687,2.882,25581
59178,COM,1T2,Y15T64,_T,POP,A,2011,18280.13622,Actif,Total,59178,Douai,50.368,3.08,39648
59178,COM,1T2,Y15T64,3,POP,A,2011,2371.44393,Actif,Cadres et professions intellectuelles supérieures,59178,Douai,50.368,3.08,39648
59009,COM,1T2,Y15T64,1,POP,A,2011,19.72106,Actif,Agriculteurs,59009,Villeneuve-d'Ascq,50.62,3.132,62067
59392,COM,1T2,Y15T64,1,POP,A,2016,20.52256,Actif,Agriculteurs,59392,Maubeuge,50.28,3.967,29066
57480,COM,1T2,Y15T64,5,POP,A,2011,3941.75831,Actif,Employés,57480,Montigny-lès-Metz,49.1,6.153,21854
59009,COM,1T2,Y15T64,3,POP,A,2016,6650.45211,Actif,Cadres et professions intellectuelles supérieures,59009,Villeneuve-d'Ascq,50.62,3.132,62067
59183,COM,1T2,Y15T64,2,POP,A,2016,1468.25732,Actif,"Artisans, commerçants et chefs d’entreprise",59183,Dunkerque,51.038,2.377,86788
59360,COM,1T2,Y15T64,1,POP,A,2011,4.60497,Actif,Agriculteurs,59360,Loos,50.615,3.015,23013
59410,COM,1T2,Y15T64,5,POP,A,2016,2880.26858,Actif,Employés,59410,Mons-en-Barœul,50.643,3.11,21467
59009,COM,1T2,Y15T64,4,POP,A,2016,7424.8833,Actif,Professions intermédiaires,59009,Villeneuve-d'Ascq,50.62,3.132,62067
58194,COM,1T2,Y15T64,4,POP,A,2011,3587.90902,Actif,Professions intermédiaires,58194,Nevers,46.988,3.158,32830
57672,COM,1T2,Y15T64,1,POP,A,2011,6.14214,Actif,Agriculteurs,57672,Thionville,49.358,6.168,42163
59599,COM,1T2,Y15T64,4,POP,A,2016,9386.28031,Actif,Professions intermédiaires,59599,Tourcoing,50.724,3.161,99011
59163,COM,1T2,Y15T64,1,POP,A,2016,12.57955,Actif,Agriculteurs,59163,Croix,50.68,3.156,20778
59328,COM,1T2,Y15T64,1,POP,A,2016,19.82395,Actif,Agriculteurs,59328,Lambersart,50.647,3.021,27121
59122,COM,1T2,Y15T64,2,POP,A,2016,735.85816,Actif,"Artisans, commerçants et chefs d’entreprise",59122,Cambrai,50.176,3.235,31425
59328,COM,1T2,Y15T64,4,POP,A,2011,3991.6064,Actif,Professions intermédiaires,59328,Lambersart,50.647,3.021,27121
59606,COM,1T2,Y15T64,4,POP,A,2016,4980.73813,Actif,Professions intermédiaires,59606,Valenciennes,50.358,3.524,42991
59009,COM,1T2,Y15T64,2,POP,A,2016,988.52166,Actif,"Artisans, commerçants et chefs d’entreprise",59009,Villeneuve-d'Ascq,50.62,3.132,62067
58194,COM,1T2,Y15T64,4,POP,A,2016,3084.05186,Actif,Professions intermédiaires,58194,Nevers,46.988,3.158,32830
59155,COM,1T2,Y15T64,6,POP,A,2011,2946.61831,Actif,Ouvriers,59155,Coudekerque-Branche,51.019,2.381,20765
59155,COM,1T2,Y15T64,_T,POP,A,2016,9459.97582,Actif,Total,59155,Coudekerque-Branche,51.019,2.381,20765
57631,COM,1T2,Y15T64,6,POP,A,2011,2930.47754,Actif,Ouvriers,57631,Sarreguemines,49.11,7.07,20624
59328,COM,1T2,Y15T64,6,POP,A,2011,1507.8924,Actif,Ouvriers,59328,Lambersart,50.647,3.021,27121
59599,COM,1T2,Y15T64,6,POP,A,2011,14313.36709,Actif,Ouvriers,59599,Tourcoing,50.724,3.161,99011
59599,COM,1T2,Y15T64,6,POP,A,2016,13610.76708,Actif,Ouvriers,59599,Tourcoing,50.724,3.161,99011
59350,COM,1T2,Y15T64,2,POP,A,2016,4128.08132,Actif,"Artisans, commerçants et chefs d’entreprise",59350,Lille,50.63,3.071,236710
59172,COM,1T2,Y15T64,1,POP,A,2011,11.7096,Actif,Agriculteurs,59172,Denain,50.326,3.394,20640
58194,COM,1T2,Y15T64,3,POP,A,2011,1934.64003,Actif,Cadres et professions intellectuelles supérieures,58194,Nevers,46.988,3.158,32830
59368,COM,1T2,Y15T64,_T,POP,A,2011,11773.64142,Actif,Total,59368,La Madeleine,50.654,3.074,22488
59271,COM,1T2,Y15T64,5,POP,A,2016,2811.21033,Actif,Employés,59271,Grande-Synthe,51.014,2.302,20331
59178,COM,1T2,Y15T64,4,POP,A,2011,4028.10868,Actif,Professions intermédiaires,59178,Douai,50.368,3.08,39648
