id;starttime;endtime;description;type;subtype;street;polyline;direction
20251119T094220_1413_3649;2025-11-19T09:42:20+02:00;2030-11-19T10:04:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683707172224899 2.4013944321609242 48.8683112793836543 2.4013475520610199;ONE_DIRECTION
20251119T094151_1872_47;2025-11-19T09:41:51+02:00;2030-11-23T03:02:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8923523008100034 2.3171888086725216 48.8932205011002736 2.3156828118419113;ONE_DIRECTION
20251119T094336_283_1246;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8627347716274372 2.3351458671496284 48.8631970496358079 2.3337122499579190;ONE_DIRECTION
20251119T094336_374_1060;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8539396055919610 2.3647612444729278 48.8543173510283566 2.3637201767521603;ONE_DIRECTION
20210117T082836_6088_3370;2021-01-17T08:28:36+02:00;2030-12-27T17:00:00+02:00;AE_A6A_bretelle_8;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AE_A6A_bretelle_8;48.8153000957952585 2.3367824808364861 48.8162481478654655 2.3371978486170617 48.8165029925392133 2.3374582022794543 48.8167048488371691 2.3378199568949225 48.8167241076344780 2.3380966256338662 48.8164816798007664 2.3418359646445879;ONE_DIRECTION
20260421T213641_5273_30;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PE_Charles_Leroy;48.8162123106580665 2.3636713326876815 48.8172470727600327 2.3664634311841790;ONE_DIRECTION
20251119T094302_1889_3564;2025-11-19T09:43:02+02:00;2030-11-19T10:07:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8896224753447015 2.3262141489615344 48.8885394274649130 2.3258296015646969;ONE_DIRECTION
20251119T094336_34_290;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8614986341360549 2.3390796944274990 48.8621582136371160 2.3369915823366560;ONE_DIRECTION
20251119T094336_26_2547;2025-11-19T09:43:36+02:00;2030-11-19T10:05:00+02:00;Interdit sauf BUS, Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8580826343978813 2.3495301566806641 48.8585227178299064 2.3482103524655238;ONE_DIRECTION
20260421T213641_936_1843;2026-04-21T21:36:41+02:00;2026-04-22T06:00:00+02:00;SE_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AE_Vincennes;48.8470237084045564 2.4149810123788980 48.8477206810409186 2.4149996107483198;ONE_DIRECTION
